model_name,accuracy,precision,recall,f1_score,macro_precision,macro_recall,macro_f1,neutral_recall
Multilingual SGD Character N-grams,0.7966666666666666,0.7855681826760443,0.7966666666666666,0.7901214358990629,0.6665670345215174,0.6406837328723843,0.649796172269045,0.25274725274725274
Multilingual SGD Word + Character TF-IDF,0.8025,0.7874048230670012,0.8025,0.7916758254888931,0.6848537598892999,0.6333696517189517,0.6459340358482124,0.2087912087912088
Multilingual Logistic Regression Word TF-IDF,0.7633333333333333,0.747277071789336,0.7633333333333333,0.7529471309369209,0.6174390156571579,0.5901065527447251,0.5951154811483502,0.15384615384615385
Multilingual Naive Bayes Word TF-IDF,0.7783333333333333,0.7938368712229904,0.7783333333333333,0.7470625631882278,0.8494739359158298,0.5550330043329307,0.5395537282240218,0.01098901098901099
