language,language_name,rows,accuracy,precision,recall,f1_score,macro_precision,macro_recall,macro_f1,neutral_recall
DE,German,238,0.7815126050420168,0.7838531931147701,0.7815126050420168,0.780613753038904,0.5554480980012895,0.5499999999999999,0.5512483050171492,0.0
EN,English,237,0.8987341772151899,0.8966792134749815,0.8987341772151899,0.8973389479718592,0.8367393800229621,0.8088628762541806,0.8215950715950715,0.6
FR,French,231,0.6666666666666666,0.6501791428033664,0.6666666666666666,0.6577129641130588,0.4858954451345756,0.4799562482909489,0.481109725874898,0.13043478260869565
IT,Italian,254,0.7440944881889764,0.7108157590441055,0.7440944881889764,0.7242190949351026,0.5716783216783217,0.5658580858085808,0.5613160111700619,0.08
JP,Japanese,240,0.8916666666666667,0.8918068292618652,0.8916666666666667,0.889330997664331,0.8940654070150472,0.8027556710519193,0.8380647313980648,0.6
